name,chr,strand,start,end,symbol
7899005,chr1,+,25537397,25561439,TMEM50A
7899018,chr1,+,25629974,25699283,TMEM57
7899023,chr1,+,25742662,25767964,LDLRAP1
7899029,chr1,+,25816545,25983845,MAN1C1
7899043,chr1,+,26011763,26017297,SEPN1
7899057,chr1,+,26019270,26032020,FAM54B
7899069,chr1,+,26076573,26076683,---
7899071,chr1,+,26163274,26163378,---
7899073,chr1,+,26205293,26205377,---
7899075,chr1,+,26221011,26235525,EXTL1
7899087,chr1,+,26310854,26324611,PDIK1L
7899093,chr1,+,26358097,26361706,GRRP1
7899096,chr1,+,26368974,26369951,ZNF593
7899101,chr1,+,26376567,26388962,CNKSR1
7899124,chr1,+,26389705,26401620,CATSPER4
7899134,chr1,+,26433279,26477886,CCDC21
7899151,chr1,+,26445831,26445916,---
7899153,chr1,+,26478832,26480201,SH3BGRL3
7899160,chr1,+,26516997,26519601,CD52
7899167,chr1,+,26609855,26628806,LIN28
7899173,chr1,+,26631359,26670372,DHDDS
7899187,chr1,+,26671488,26675720,HMGN2
7899192,chr1,+,26728835,26774107,RPS6KA1
7899220,chr1,+,26895108,26981188,ARID1A
7899244,chr1,+,26987072,26997474,PIGV
7899251,chr1,+,27013902,27014185,---
7899253,chr1,+,27025787,27054795,ZDHHC18
7899265,chr1,+,27062219,27063534,SFN
7899273,chr1,+,27120810,27145474,NUDC
7899284,chr1,+,27192781,27199964,TNRP
7899287,chr1,+,27376154,27376355,---
7899289,chr1,+,27433593,27507695,WDTC1
7899310,chr1,+,27521222,27535478,TMEM222
7899323,chr1,+,27542305,27546536,SYTL1
7899343,chr1,+,27591738,27594904,GPR3
7899348,chr1,+,27892833,27892933,---
7899350,chr1,+,27925076,27960701,FAM76A
7899361,chr1,+,27972369,28023401,STX12
7899377,chr1,+,28029879,28050770,PPP1R8
7899392,chr1,+,28033498,28033664,SCARNA1
7899394,chr1,+,28071641,28085780,C1orf38
7899407,chr1,+,28134090,28158250,SMPDL3B
7899417,chr1,+,28158559,28167191,XKR8
7899424,chr1,+,28435197,28437198,ATPIF1
7899436,chr1,+,28458592,28481589,SESN2
7899448,chr1,+,28528099,28535065,MED18
7899455,chr1,+,28568679,28699468,PHACTR4
7899462,chr1,+,28717331,28738194,RCC1
7899484,chr1,+,28716574,28716673,---
7899486,chr1,+,28752115,28777644,TRSPAP1
7899499,chr1,+,28791610,28793673,RAB42
7899502,chr1,+,28847698,28847833,RNU11
7899504,chr1,+,28867830,28913972,GMEB1
7899517,chr1,+,28888763,28888893,---
7899519,chr1,+,28935722,28968874,YTHDF2
7899528,chr1,+,29011240,29062795,OPRD1
7899534,chr1,+,29086189,29319145,EPB41
7899560,chr1,+,29184808,29184909,---
7899562,chr1,+,29435633,29525903,PTPRU
7899595,chr1,+,30963925,30972178,LOC100129196
7899604,chr1,+,31542517,31609582,ZCCHC17
7899615,chr1,+,31654998,31680111,SERINC2
7899627,chr1,+,31814672,31825872,TINAGL1
7899643,chr1,+,31855887,31865506,HCRTR1
7899654,chr1,+,32252077,32282059,KHDRBS1
7899675,chr1,+,32311089,32341054,TMEM39B
7899688,chr1,+,32346230,32414755,KPNA6
7899703,chr1,+,32418252,32436473,TXLNA
7899719,chr1,+,32438788,32443578,CCDC28B
7899727,chr1,+,32443822,32446875,IQCC
7899737,chr1,+,32460557,32469792,EIF3I
7899750,chr1,+,32485404,32487048,FAM167B
7899753,chr1,+,32512298,32524353,LCK
7899774,chr1,+,32530294,32571811,HDAC1
7899790,chr1,+,32600384,32602495,TSSK3
7899797,chr1,+,32777358,32844129,ZBTB8
7899811,chr1,+,32878138,32878240,---
7899813,chr1,+,32889335,32924397,RBBP4
7899821,chr1,+,33003854,33013158,KIAA1522
7899829,chr1,+,33055779,33075370,S100PBP
7899841,chr1,+,33124684,33132834,HPCA
7899849,chr1,+,33218132,33218660,hCG_1641703
7899851,chr1,+,33319300,33358582,ADC
7899870,chr1,+,33494760,33538907,ZNF362
7899882,chr1,+,33519403,33521015,---
7899884,chr1,+,33710818,33734582,ZSCAN20
7899898,chr1,+,34102217,34102979,HMGB4
7899905,chr1,+,34102217,34102979,HMGB4
7899911,chr1,+,34405070,34457319,C1orf94
7899921,chr1,+,34993307,34996699,GJB5
7899927,chr1,+,34999364,35000515,GJB4
7899932,chr1,+,35019376,35024552,GJB3
7899939,chr1,+,35031185,35033935,GJA4
7899943,chr1,+,35317558,35354042,ZMYM1
7899957,chr1,+,35507154,35660132,ZMYM4
7899988,chr1,+,35548461,35548613,---
7899990,chr1,+,35795660,35804960,NCDN
7900001,chr1,+,35811557,35833514,TFAP2E
7900009,chr1,+,36046414,36093775,EIF2C4
7900030,chr1,+,36121396,36162486,EIF2C1
7900051,chr1,+,36169358,36294650,EIF2C3
7900076,chr1,+,36322262,36326463,TEKT2
7900087,chr1,+,36327039,36332119,ADPRHL2
7900095,chr1,+,36394152,36419037,MAP7D1
7900119,chr1,+,36462603,36543544,THRAP3
7900129,chr1,+,36545297,36559419,C1orf113
7900144,chr1,+,37441797,37441904,---
7900146,chr1,+,37712705,37722565,ZC3H12A
7900159,chr1,+,37795106,37805045,DNALI1
7900167,chr1,+,37930745,37947978,CDCA8
7900181,chr1,+,37988460,37988559,---
7900183,chr1,+,38032360,38039865,MANEAL
7900192,chr1,+,38046404,38047713,C1orf122
7900201,chr1,+,38250970,38263084,UTP11L
7900212,chr1,+,38634917,38635024,---
7900214,chr1,+,39165128,39165236,---
7900216,chr1,+,39229502,39244322,AKIRIN1
7900228,chr1,+,39264592,39272874,NDUFS5
7900235,chr1,+,39569396,39725376,MACF1
7900336,chr1,+,39718873,39721050,MACF1
7900340,chr1,+,39729904,39768128,BMP8A
7900350,chr1,+,39742781,39742854,---
7900354,chr1,+,39977116,39991965,PPIE
7900365,chr1,+,40193406,40208214,MFSD2
7900382,chr1,+,40278841,40310908,CAP1
7900395,chr1,+,40399627,40479180,RLF
7900405,chr1,+,40416101,40416208,---
7900407,chr1,+,40472002,40472113,---
7900409,chr1,+,40486159,40489952,TMCO2
7900413,chr1,+,40496319,40532443,ZMPSTE24
7900426,chr1,+,40612314,40661581,SMAP2
7900438,chr1,+,40689302,40701975,ZNF643
7900446,chr1,+,40715888,40734602,ZNF642
7900454,chr1,+,40747019,40754799,C1orf176
7900461,chr1,+,40769819,40786426,ZNF684
7900468,chr1,+,40930271,41009365,NFYC
7900488,chr1,+,40992613,40992705,---
7900490,chr1,+,40995542,40995631,---
7900492,chr1,+,41022270,41076947,KCNQ4
7900510,chr1,+,41217950,41250813,CTPS
7900531,chr1,+,42391678,42394082,GUCA2B
7900538,chr1,+,42551885,42552058,---
7900540,chr1,+,42619054,42662487,FAM80A
7900546,chr1,+,42694374,42698339,PPCS
7900555,chr1,+,42773146,42892922,RP4-692D3.1
7900576,chr1,+,42896634,42915016,PPIH
7900597,chr1,+,43005526,43013997,C1orf50
7900603,chr1,+,43005563,43031082,C1orf50
7900609,chr1,+,43055362,43083247,ERMAP
7900624,chr1,+,43087546,43090731,ZNF691
7900633,chr1,+,43229695,43229802,---
7900635,chr1,+,43386180,43394654,FAM183A
7900639,chr1,+,43410612,43449136,WDR65
7900652,chr1,+,43434674,43434794,---
7900654,chr1,+,43508251,43512259,TMEM125
7900658,chr1,+,43539250,43561366,TIE1
7900683,chr1,+,43576061,43592722,MPL
7900699,chr1,+,43597270,43601461,CDC20
7900710,chr1,+,43661383,43690891,C1orf84
7900792,chr1,+,43769133,43861930,PTPRF
7900833,chr1,+,43888383,43943776,JMJD2A
7900857,chr1,+,43945804,44169418,ST3GAL3
7900876,chr1,+,43954724,43954809,---
7900878,chr1,+,44173617,44175498,ARTN
7900888,chr1,+,44204197,44206011,IPO13
7900911,chr1,+,44208239,44211630,DPH2
7900922,chr1,+,44213188,44216559,ATP6V0B
7900931,chr1,+,44217452,44229427,B4GALT2
7900944,chr1,+,44229866,44234785,CCDC24
7900957,chr1,+,44357108,44373396,KLF17
7900962,chr1,+,44451711,44458938,DMAP1
7900977,chr1,+,44628980,44629082,---
7900979,chr1,+,44643452,44889982,RNF220
7900999,chr1,+,44912980,44963848,MGC33556
7901010,chr1,+,44984664,45006026,KIF2C
7901036,chr1,+,45010901,45010975,---
7901046,chr1,+,45014123,45014197,SNORD55
7901048,chr1,+,45014750,45014848,SNORD46
7901050,chr1,+,45016100,45016171,SNORD38A
7901052,chr1,+,45016648,45016717,SNORD38B
7901054,chr1,+,45038622,45044254,PLK3
7901071,chr1,+,45170581,45170685,---
7901073,chr1,+,45250416,45253928,UROD
7901087,chr1,+,45565131,45566933,HPDL
7901091,chr1,+,45578511,45582223,TOE1
7901102,chr1,+,45738442,45749326,MMACHC
7901110,chr1,+,45789084,45808308,AKR1A1
7901123,chr1,+,45822303,45857154,NASP
7901135,chr1,+,45925472,45932697,TMEM69
7901140,chr1,+,46041871,46274383,MAST2
7901175,chr1,+,46418798,46424217,TSPAN1
7901187,chr1,+,46441592,46459514,C1orf190
7901192,chr1,+,46485953,46516732,RAD54L
7901212,chr1,+,46541956,46555032,UQCRH
7901219,chr1,+,46578976,46603277,NSUN4
7901227,chr1,+,46597103,46597178,---
7901229,chr1,+,46632525,46652107,FAAH
7901247,chr1,+,46745254,46752473,DMBX1
7901253,chr1,+,46910086,46911836,C1orf223
7901256,chr1,+,47037256,47057608,CYP4B1
7901272,chr1,+,47261826,47289010,CYP4X1
7901287,chr1,+,47305746,47356579,CYP4Z1
7901293,chr1,+,47375693,47387113,CYP4A22
7901299,chr1,+,47572174,47617097,CMPK1
7901309,chr1,+,47654330,47656311,FOXE3
7901311,chr1,+,47674275,47678950,FOXD2
7901314,chr1,+,48340326,48342966,---
7901316,chr1,+,48460943,48486903,SLC5A9
7901334,chr1,+,48582467,48582574,---
7901340,chr1,+,50232576,50234461,---
7901342,chr1,+,50347180,50440127,ELAVL4
7901357,chr1,+,50564528,50565269,LOC343184
7901359,chr1,+,50820663,50820771,---
7901363,chr1,+,51208229,51212897,CDKN2C
7901374,chr1,+,51345481,51345591,---
7901376,chr1,+,51474532,51511707,RNF11
7901383,chr1,+,51620567,51620674,---
7901385,chr1,+,51968080,52026726,OSBPL9
7901426,chr1,+,52380633,52584946,ZFYVE9
7901443,chr1,+,52388363,52388679,---
7901445,chr1,+,52606779,52608524,---
7901447,chr1,+,52642806,52656580,PRPF38A
7901460,chr1,+,52840630,52847310,GPX7
7901466,chr1,+,52871653,52895325,FAM159A
7901477,chr1,+,52952658,52952954,---
7901479,chr1,+,52964718,53065599,ZYG11B
7901497,chr1,+,53080770,53133253,ZYG11A
7901513,chr1,+,53253197,53289870,SCP2
7901535,chr1,+,53300441,53323761,PODN
7901549,chr1,+,53434688,53452457,CPT2
7901557,chr1,+,53698143,53705746,DMRTB1
7901563,chr1,+,54048534,54048644,---
7901565,chr1,+,54132465,54149347,DIO1
7901577,chr1,+,54184624,54206427,LRRC42
7901592,chr1,+,54291928,54335550,C1orf83
7901601,chr1,+,54438427,54456644,MRPL37
7901611,chr1,+,54476297,54477323,C1orf191
7901613,chr1,+,54786488,54848588,ACOT11
7901634,chr1,+,54880014,54948527,C1orf175
7901662,chr1,+,54954082,54980914,TTC4
7901675,chr1,+,55044362,55080517,C1orf177
7901687,chr1,+,55219052,55230554,TMEM61
7901691,chr1,+,55237225,55247042,BSND
7901696,chr1,+,55277807,55303111,PCSK9
7901710,chr1,+,55611698,55611765,---
7901714,chr1,+,55819297,55973263,---
7901720,chr1,+,56883577,56953596,PRKAA2
7901732,chr1,+,57093030,57156482,C8A
7901744,chr1,+,58960542,58960629,---
7901746,chr1,+,58986250,58986359,---
7901748,chr1,+,59535327,60000986,FGGY
7901765,chr1,+,60053120,60114638,HOOK1
7901788,chr1,+,61320567,61701047,NFIA
7901802,chr1,+,61892505,61893778,MGC34796
7901804,chr1,+,61980736,62402179,INADL
7901852,chr1,+,62054678,62054782,---
7901854,chr1,+,62090758,62090862,---
7901856,chr1,+,62277101,62277370,---
7901858,chr1,+,62310707,62311001,---
7901860,chr1,+,62433061,62450586,L1TD1
7901867,chr1,+,62674562,62690063,USP1
7901883,chr1,+,62835774,62843768,ANGPTL3
7901895,chr1,+,63022390,63102638,ATG4C
7901911,chr1,+,63477201,63477385,---
7901913,chr1,+,63561317,63563385,FOXD3
7901915,chr1,+,63605848,63676820,ALG6
7901931,chr1,+,63761600,63810951,EFCAB7
7901948,chr1,+,63787238,63788895,DLEU2L
7901951,chr1,+,63831534,63898505,PGM1
7901967,chr1,+,63894013,63894306,---
7901969,chr1,+,64012277,64417295,ROR1
7901982,chr1,+,64442077,64482615,UBE2U
7901993,chr1,+,64709063,64931329,CACHD1
7902023,chr1,+,64983365,65071500,RAVER2
7902036,chr1,+,65364292,65364446,---
7902038,chr1,+,65386473,65465763,AK3L1
7902043,chr1,+,65503017,65654140,DNAJC6
7902072,chr1,+,65537042,65538314,BPA-1
7902074,chr1,+,65658835,65875764,LEPR
7902102,chr1,+,65809819,65809922,---
7902104,chr1,+,66570380,66612850,PDE4B
7902127,chr1,+,66771653,66982645,SGIP1
7902158,chr1,+,66990727,67017317,TCTEX1D1
7902166,chr1,+,67168513,67226890,MIER1
7902189,chr1,+,67404756,67498238,IL23R
7902203,chr1,+,67434414,67434511,---
7902205,chr1,+,67545634,67635171,IL12RB2
7902225,chr1,+,67779397,67779504,---
7902227,chr1,+,67923470,67926607,GADD45A
7902235,chr1,+,69806668,70361752,LRRC7
7902265,chr1,+,70117861,70118095,---
7902267,chr1,+,70157592,70158588,PIN1L
7902269,chr1,+,70443952,70490272,SFRS11
7902282,chr1,+,70593106,70606291,HHLA3
7902290,chr1,+,70649542,70677841,CTH
7902306,chr1,+,70768796,70769213,---
7902308,chr1,+,74436513,74445708,FPGT
7902317,chr1,+,74473672,74782696,TNNI3K
7902345,chr1,+,74971427,75004946,TYW3
7902353,chr1,+,75366706,75399806,LHX8
7902365,chr1,+,75421317,75421421,---
7902367,chr1,+,75963025,76001763,ACADM
7902382,chr1,+,76024503,76028386,RABGGTB
7902396,chr1,+,76025344,76025422,SNORD45C
7902398,chr1,+,76026161,76026245,SNORD45A
7902400,chr1,+,76027749,76027820,SNORD45B
7902402,chr1,+,76035154,76151511,MSH4
7902425,chr1,+,76312976,76869257,ST6GALNAC3
7902435,chr1,+,76938058,76938846,RCTPI1
7902439,chr1,+,76991411,76991513,---
7902441,chr1,+,77105713,77302307,ST6GALNAC5
7902452,chr1,+,77520329,77798242,AK5
7902472,chr1,+,77853141,77853213,---
7902474,chr1,+,77883596,77883891,---
7902476,chr1,+,78017896,78116665,FAM73A
7902495,chr1,+,78126900,78181497,NEXN
7902512,chr1,+,78243223,78255583,DNAJB4
7902518,chr1,+,78284176,78375700,GIPC2
7902527,chr1,+,78729344,78776138,PTGFR
7902541,chr1,+,78858675,78884418,IFI44L
7902553,chr1,+,78888064,78902351,IFI44
7902563,chr1,+,81490061,81490289,---
7902565,chr1,+,82038669,82230695,LPHN2
7902594,chr1,+,84382539,84476769,PRKACB
7902611,chr1,+,84482661,84483083,---
7902615,chr1,+,84515591,84515728,---
7902617,chr1,+,84536636,84589068,SAMD13
7902623,chr1,+,84646621,84653279,DNASE2B
7902634,chr1,+,84717507,84736621,BXDC5
7902645,chr1,+,84744561,84804463,SPATA1
7902660,chr1,+,85300580,85371408,WDR63
7902687,chr1,+,85819031,85822234,CYR61
7902700,chr1,+,85830550,85830627,---
7902702,chr1,+,86662356,86694828,CLCA2
7902721,chr1,+,86706638,86738530,CLCA1
7902738,chr1,+,86785346,86819020,CLCA4
7902754,chr1,+,86872546,86893647,CLCA3
7902771,chr1,+,86943091,86981857,SH3GLB1
7902787,chr1,+,87023183,87023738,---
7902789,chr1,+,87152922,87348268,HS2ST1
7902799,chr1,+,87368140,87374938,LOC339524
7902808,chr1,+,87231277,87407472,---
7902810,chr1,+,87566738,87587191,LMO4
7902822,chr1,+,88922843,89072010,PKN2
7902848,chr1,+,89053400,89055364,---
7902850,chr1,+,89602204,89624607,GBP6
7902861,chr1,+,89763049,89831524,LRRC8B
7902874,chr1,+,89871231,89957681,LRRC8C
7902883,chr1,+,90060067,90174575,LRRC8D
7902891,chr1,+,90230309,90266682,ZNF326
7902909,chr1,+,90895894,90896108,---
7902911,chr1,+,91499769,91499869,---
7902913,chr1,+,91738991,91763908,CDC7
7902930,chr1,+,91873155,91881922,HSP90B3P
7902934,chr1,+,92187515,92252573,BRDT
7902957,chr1,+,92268120,92301681,ABHD7
7902965,chr1,+,92318449,92385983,BTBD8
7902977,chr1,+,92407002,92422297,KIAA1107
7902984,chr1,+,92456160,92483955,C1orf146
7902992,chr1,+,92537192,92626317,RPAP2
7903008,chr1,+,92661916,92662053,---
7903010,chr1,+,93070181,93080069,RPL5
7903022,chr1,+,93075433,93075528,SNORD21
7903024,chr1,+,93084203,93084327,---
7903028,chr1,+,93264396,93264576,---
7903030,chr1,+,93265025,93265148,---
7903032,chr1,+,93317379,93377226,MTF2
7903049,chr1,+,93418507,93516856,CCDC18
7903079,chr1,+,93584065,93600736,DR1
7903090,chr1,+,93623855,93623962,---
7903092,chr1,+,93686312,93792806,FNBP1L
7903109,chr1,+,94172097,94172161,---
7903111,chr1,+,94172258,94172326,---
7903113,chr1,+,94172333,94172401,---
7903115,chr1,+,94389563,94389663,---
7903119,chr1,+,94656520,94756807,ABCD3
7903144,chr1,+,95058687,95133390,SLC44A3
7903162,chr1,+,95355481,95435747,TMEM56
7903171,chr1,+,95472298,95485369,RWDD3
7903181,chr1,+,96464044,96464204,---
7903183,chr1,+,96685073,96686462,---
7903186,chr1,+,96821355,96821670,---
7903188,chr1,+,96959965,97052931,PTBP2
7903203,chr1,+,98899823,98998644,SNX7
7903214,chr1,+,99502487,99547726,LPPR4
7903227,chr1,+,99884185,99932823,PALMD
7903239,chr1,+,100089118,100162167,AGL
7903281,chr1,+,100208127,100261594,SLC35A3
7903292,chr1,+,100217082,100217189,---
7903294,chr1,+,100276240,100320866,HIAT1
7903308,chr1,+,100371293,100388641,CCDC76
7903321,chr1,+,100504301,100530911,RTCD1
7903334,chr1,+,100590610,100758421,CDC14A
7903355,chr1,+,100776280,100780158,GPR88
7903358,chr1,+,100957884,100977189,VCAM1
7903369,chr1,+,101134221,101219899,SLC30A7
7903389,chr1,+,101228348,101230241,---
7903391,chr1,+,101371296,101371483,---
7903393,chr1,+,101475042,101479657,S1PR1
7903399,chr1,+,102097994,102098067,---
7903401,chr1,+,102110154,102132887,HEJ1
7903407,chr1,+,103899096,103923670,AMY2B
7903455,chr1,+,107148545,107148612,---
7903457,chr1,+,107400860,107403437,PRMT6
7903461,chr1,+,107492738,107824985,NTNG1
7903474,chr1,+,107849347,107849593,---
7903507,chr1,+,108904233,108983472,FAM102B
7903519,chr1,+,109036454,109045945,PRPF38B
7903530,chr1,+,109066508,109086888,FNDC7
7903541,chr1,+,109090807,109153671,STXBP3
7903561,chr1,+,109201361,109202667,LOC642864
7903565,chr1,+,109221125,109274567,GPSM2
7903592,chr1,+,109532123,109550924,KIAA1324
7903619,chr1,+,109558062,109582308,SARS
7903632,chr1,+,109594163,109619901,CELSR2
7903667,chr1,+,109810622,109826287,SYPL2
7903676,chr1,+,109833695,109836949,ATXN7L2
7903688,chr1,+,109838223,109844585,CYB561D1
